,id,city,country,lon,lat,date,temperature,humidity,cloudiness,wind speed
625,3439781,Treinta y Tres,UY,-54.39,-33.23,2018-04-03 17:00:00,75.35,81,12,2.37
627,3509363,Constanza,DO,-70.74,18.91,2018-04-03 17:00:00,84.2,54,40,6.93
628,3614319,Campamento,HN,-86.67,14.55,2018-04-03 17:00:00,78.86,60,8,3.27
634,3393922,Nisia Floresta,BR,-35.21,-6.09,2018-04-03 17:00:00,87.8,62,40,14.99
638,330534,Mizan Teferi,ET,35.58,6.99,2018-04-03 17:00:00,63.92,90,8,2.15
647,3855065,General Roca,AR,-67.58,-39.03,2018-04-03 17:00:00,83,26,0,8.41
651,53654,Mogadishu,SO,45.34,2.04,2018-04-03 17:00:00,83.63,100,64,10.65
653,1509852,Bogotol,RU,89.53,56.21,2018-04-03 17:00:00,20.45,86,56,8.63
680,2417795,Mandiana,GN,-8.7,10.62,2018-04-03 17:00:00,97.49,24,0,5.17
685,3457454,Matipo,BR,-42.34,-20.28,2018-04-03 17:00:00,84.71,60,20,5.5
690,4671240,Estelle,US,-97.01,32.87,2018-04-03 17:00:00,77.23,65,75,16.11
694,1488429,Uray,RU,64.8,60.13,2018-04-03 17:00:00,31.7,88,48,10.65
711,2078025,Peterhead,AU,138.5,-34.83,2018-04-03 17:00:00,53.6,81,40,5.82
15,4314550,Alexandria,US,-92.44,31.31,2018-04-03 17:00:00,80.58,65,75,6.93
30,1052944,Angoche,MZ,39.91,-16.23,2018-04-03 17:00:00,83.81,100,56,9.64
45,2994798,Meaux,FR,2.9,48.96,2018-04-03 17:00:00,51.8,81,40,11.41
53,3603330,Amapa,HN,-87.97,15.09,2018-04-03 17:00:00,89.6,59,20,5.82
82,3441684,Mercedes,UY,-58.03,-33.25,2018-04-03 17:00:00,79.4,62,48,4.38
86,4801859,Charleston,US,-81.63,38.35,2018-04-03 17:00:00,66.2,63,75,3.36
95,2417988,Macenta,GN,-9.47,8.55,2018-04-03 17:00:00,81.74,71,24,2.37
97,257122,Methoni,GR,21.7,36.82,2018-04-03 17:00:00,55.4,66,0,6.73
100,561679,Ustye,RU,27.79,58.76,2018-04-03 17:00:00,25.22,78,8,9.08
106,3029566,Bully-les-Mines,FR,2.72,50.45,2018-04-03 17:00:00,51.12,87,92,14.99
107,2665171,Vanersborg,SE,12.32,58.38,2018-04-03 17:00:00,39.2,69,75,14.99
127,546105,Nikolskoye,RU,30.79,59.7,2018-04-03 17:00:00,33.8,59,20,8.95
128,922704,Lubumbashi,CD,27.48,-11.66,2018-04-03 17:00:00,67.61,90,68,5.17
141,1498402,Mortka,RU,66.02,59.33,2018-04-03 17:00:00,31.07,93,92,7.52
157,3661894,Tonantins,BR,-67.77,-2.86,2018-04-03 17:00:00,83.54,82,88,3.71
160,795243,Snezhnogorsk,RU,33.23,69.19,2018-04-03 17:00:00,28.4,92,75,4.47
166,245785,Abeche,TD,20.83,13.83,2018-04-03 17:00:00,79.58,22,0,5.73
174,3921355,Challapata,BO,-66.78,-18.9,2018-04-03 17:00:00,53.84,30,0,7.18
182,2455518,Kayes,ML,-11.44,14.44,2018-04-03 17:00:00,103.34,17,0,4.38
188,1505965,Igrim,RU,64.42,63.19,2018-04-03 17:00:00,29.81,83,92,10.54
205,6111696,Port-Cartier,CA,-66.88,50.03,2018-04-03 17:00:00,28.4,74,90,9.17
208,2757220,Westerland,NL,4.93,52.89,2018-04-03 17:00:00,52.95,93,90,17.22
211,3653967,Muisne,EC,-80.02,0.61,2018-04-03 17:00:00,81.11,91,20,6.17
219,3583102,San Julian,SV,-89.56,13.7,2018-04-03 17:00:00,81.55,57,20,3.36
226,6067472,Marystown,CA,-55.16,47.17,2018-04-03 17:00:00,32.24,82,8,20.04
231,3670745,Riohacha,CO,-72.91,11.54,2018-04-03 17:00:00,82.4,65,75,16.11
235,3489005,Port Antonio,JM,-76.45,18.18,2018-04-03 17:00:00,84.2,66,20,10.29
253,3347353,Menongue,AO,17.68,-14.66,2018-04-03 17:00:00,67.97,85,80,2.59
255,989921,Klerksdorp,ZA,26.67,-26.86,2018-04-03 17:00:00,61.13,92,88,2.93
258,3867291,Filadelfia,PY,-60.04,-22.35,2018-04-03 17:00:00,86.87,65,0,4.61
268,81604,Suluq,LY,20.25,31.67,2018-04-03 17:00:00,62.6,63,0,17.22
286,3383434,Nieuw Amsterdam,SR,-55.08,5.88,2018-04-03 17:00:00,83.82,62,40,12.75
289,2982343,Royan,FR,-1.03,45.62,2018-04-03 17:00:00,57.16,67,0,8.05
328,5928065,Bombay,US,-74.57,44.94,2018-04-03 17:00:00,42.8,45,90,11.41
332,303831,Nevsehir,TR,34.71,38.62,2018-04-03 17:00:00,43.59,48,0,3.36
344,2624521,Asnaes,DK,11.5,55.81,2018-04-03 17:00:00,37.4,100,90,12.75
345,3405339,Bom Jardim,BR,-35.59,-7.8,2018-04-03 17:00:00,83.54,68,76,10.98
348,2426370,Oum Hadjer,TD,19.7,13.3,2018-04-03 17:00:00,83.54,33,0,4.38
371,1024696,Dondo,MZ,34.74,-19.62,2018-04-03 17:00:00,78.95,78,0,6.96
